cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1040.0 ,676.0 ,28 ,79.986110760 
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1055.0 ,676.0 ,28 ,61.887365760 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,40.269535256 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.052779992 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,360 ,44.296075096 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,47.029847436 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.698299404 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,36.447769788 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,45.854290856 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,39.289789860 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,90 ,38.074243672 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,28 ,28.021683592 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,43.012960260 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,42.326931640 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,47.813781648 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,52.908319812 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,90 ,39.358047984 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,56.141962252 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,40.563252032 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,42.620648416 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,41.836714204 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,28 ,28.237489580 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,8.063421820 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,180 ,44.207822168 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.516697444 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,53.300631656 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,41.151375060 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,52.124385600 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,37.427515184 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,38.603761240 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,55.260122448 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.908319812 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,180 ,41.719503284 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,42.131120456 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,53.692254024 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,38.407950056 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,30.079769452 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,37.721921436 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,42.229026048 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,36.251958604 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,50.459301060 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.698299404 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,38.995383608 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,53.104130996 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,41.542997428 
